accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.7621,0.98,0,Resnet-20,CIFAR-10,20,layer3.2.conv2,0.3708324432373047,0.1416149570810832,0.0712545018648012,0.0088975690305233,328.0,36864.0
0.7621,0.98,0,Resnet-20,CIFAR-10,21,linear,2.893408298492432,0.6686105169091139,0.5204357067979434,0.3031249940395355,194.0,640.0
0.7597,0.98,1,Resnet-20,CIFAR-10,0,conv1,0.9986300468444824,0.418667516010116,0.4564105270578883,0.5115740895271301,221.0,432.0
0.7597,0.98,1,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.9794559876124064,0.397566582768221,0.2010018475027205,0.1241319477558136,286.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.5624770820140839,0.3589570036357477,0.2842085133224228,0.1180555522441864,272.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.7914756139119467,0.2908799214231967,0.2315595919484737,0.1271701455116272,293.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.986105129122734,0.3758268422253474,0.2052096867670883,0.1167534738779068,269.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,5,layer1.2.conv1,0.9682714144388834,0.3755682564833774,0.3019374568265725,0.1072048619389534,247.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.7417435944080353,0.3261272645862674,0.2972543190430236,0.1128472238779068,260.0,2304.0
0.7597,0.98,1,Resnet-20,CIFAR-10,7,layer2.0.conv1,0.700884073972702,0.3925566566321983,0.2926412304085388,0.0590277761220932,272.0,4608.0
0.7597,0.98,1,Resnet-20,CIFAR-10,8,layer2.0.conv2,0.8362510055303574,0.3486809820442405,0.2527854935864817,0.0294053815305233,271.0,9216.0
0.7597,0.98,1,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,-inf,0.00390625,2.0,512.0
0.7597,0.98,1,Resnet-20,CIFAR-10,10,layer2.1.conv1,0.6549275517463684,0.2756937095790692,0.2375437204181835,0.0315755195915699,291.0,9216.0
0.7597,0.98,1,Resnet-20,CIFAR-10,11,layer2.1.conv2,0.9218717416127524,0.3370951980609882,0.2621896676658263,0.0322265625,297.0,9216.0
0.7597,0.98,1,Resnet-20,CIFAR-10,12,layer2.2.conv1,0.776073177655538,0.2920524045651475,0.2839786211800129,0.0282118059694767,260.0,9216.0
0.7597,0.98,1,Resnet-20,CIFAR-10,13,layer2.2.conv2,0.6439472138881683,0.313969369126419,0.2585261278487955,0.029622396454215,273.0,9216.0
