accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.1494,snip,0.98,CONV-6,tinyimagenet,1,9,linear.0,0.0001029968261718,4352,108,108,129,4244,1.0254476908576815,0.0125541562652763,1.0248161764705883,23,0.0381433823529411,0.02857542,4.138263771418279
0.1494,snip,0.98,CONV-6,tinyimagenet,1,10,linear.3,0.0240631103515625,512,1577,22,10993,6,85.33333333333333,0.4279546558391303,4.080078125,22,3.501953125,0.16597426,4.525383815155764
0.1494,snip,0.98,CONV-6,tinyimagenet,1,11,linear.6,0.0319140627980232,456,1634,12,24572,84,5.428571428571429,2.573392392250529,4.583333333333333,12,4.24780701754386,1.3806939,18.007833145296463
0.179,snip,0.98,CONV-6,tinyimagenet,2,0,convs1.0,0.7320601940155029,91,1265,0,41481,1,91.0,8.525387860916473,14.9010989010989,0,18.824175824175825,5.5346527,24.275967984796367
0.179,snip,0.98,CONV-6,tinyimagenet,2,1,convs1.3,0.2916395366191864,640,10751,0,1098238,1,640.0,4.146588563732803,17.7984375,0,18.55625,3.6417074,32.1628815028531
0.179,snip,0.98,CONV-6,tinyimagenet,2,3,convs1.7,0.175048828125,704,12906,0,862095,1,704.0,5.098531134595925,19.332386363636363,0,21.48153409090909,4.349464,27.756354116331
0.179,snip,0.98,CONV-6,tinyimagenet,2,4,convs1.10,0.0727199986577034,1280,10723,6,551869,2,640.0,2.4048360642045736,9.37734375,6,9.1328125,2.3093214,22.166361839981803
0.179,snip,0.98,CONV-6,tinyimagenet,2,6,convs1.14,0.0189276803284883,1408,5582,80,88488,26,54.15384615384615,1.0452890305525877,4.964488636363637,68,4.464488636363637,0.22658181,11.887923519541882
0.179,snip,0.98,CONV-6,tinyimagenet,2,7,convs1.17,0.0021141900215297,2560,1247,743,4932,1459,1.754626456477039,0.0951668101828545,1.487109375,258,0.586328125,0.07573438,7.616602435419159
0.179,snip,0.98,CONV-6,tinyimagenet,2,9,linear.0,8.678436279296875e-05,4352,91,91,55,4261,1.0213564890870688,0.0096649978145518,1.0209099264705883,20,0.0342371323529411,0.005841255,2.3106080775538347
0.179,snip,0.98,CONV-6,tinyimagenet,2,10,linear.3,0.02679443359375,512,1756,13,13729,5,102.4,0.4917738649528473,4.4296875,13,4.232421875,0.17360938,5.481812839029252
0.179,snip,0.98,CONV-6,tinyimagenet,2,11,linear.6,0.03662109375,456,1875,9,34504,96,4.75,2.7649792649766853,5.1118421052631575,9,4.822368421052632,1.5808566,18.805000639250565
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,0,convs1.0,0.0167824067175388,91,29,29,24,62,1.467741935483871,0.4928330641526442,1.3186813186813189,15,0.4285714285714285,0.44442677,8.109323009149788
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,1,convs1.3,0.0199110247194767,640,734,202,4634,157,4.076433121019108,0.519430840946734,2.146875,64,1.196875,0.1554575,10.289976550266363
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,3,convs1.7,0.020263671875,704,1494,108,10681,48,14.666666666666666,1.273692418567159,3.122159090909091,70,2.2954545454545454,0.16769576,8.475975582233058
